Date,Open,Close,Change(%),High,Low
"08 Oct 2020","11,838.00","11,841.00","0.03%","11,920.00","11,805.00"
"07 Oct 2020","11,647.00","11,754.00","0.92%","11,781.00","11,645.00"
"06 Oct 2020","11,597.00","11,663.00","0.57%","11,663.00","11,572.00"
"05 Oct 2020","11,535.00","11,523.00","-0.10%","11,591.00","11,461.00"
"01 Oct 2020","11,372.00","11,446.00","0.65%","11,449.00","11,372.00"
"30 Sep 2020","11,240.00","11,265.00","0.22%","11,296.00","11,201.00"
"29 Sep 2020","11,298.00","11,242.00","-0.50%","11,299.00","11,189.00"
"28 Sep 2020","11,123.00","11,235.00","1.01%","11,246.00","11,117.00"
"25 Sep 2020","10,906.00","11,048.00","1.30%","11,076.00","10,862.00"
"24 Sep 2020","10,982.00","10,862.00","-1.09%","11,019.00","10,851.00"
"23 Sep 2020","11,226.00","11,149.00","-0.69%","11,232.00","11,028.00"
"22 Sep 2020","11,240.00","11,130.00","-0.98%","11,260.00","11,103.00"
"21 Sep 2020","11,499.00","11,231.00","-2.33%","11,525.00","11,228.00"
"18 Sep 2020","11,555.00","11,515.00","-0.35%","11,597.00","11,460.00"
"17 Sep 2020","11,530.00","11,520.00","-0.09%","11,575.00","11,479.00"
"16 Sep 2020","11,529.00","11,607.00","0.68%","11,607.00","11,523.00"
"15 Sep 2020","11,460.00","11,531.00","0.62%","11,540.00","11,451.00"
"11 Sep 2020","11,430.00","11,463.00","0.29%","11,485.00","11,413.00"
"10 Sep 2020","11,346.00","11,463.00","1.03%","11,467.00","11,333.00"
"09 Sep 2020","11,271.00","11,311.00","0.35%","11,320.00","11,201.00"
"08 Sep 2020","11,333.00","11,309.00","-0.21%","11,447.00","11,305.00"
"07 Sep 2020","11,336.00","11,387.00","0.45%","11,387.00","11,263.00"
"04 Sep 2020","11,370.00","11,370.00","-","11,471.00","11,306.00"
"03 Sep 2020","11,559.00","11,563.00","0.03%","11,589.00","11,509.00"
"02 Sep 2020","11,479.00","11,567.00","0.77%","11,574.00","11,447.00"
"01 Sep 2020","11,382.00","11,514.00","1.16%","11,588.00","11,382.00"
"31 Aug 2020","11,771.00","11,438.00","-2.83%","11,786.00","11,349.00"
"28 Aug 2020","11,627.00","11,678.00","0.44%","11,700.00","11,604.00"
